State,Date,Month,Year,Average
Karnataka,2009-01-01,1,2009,0.0
Karnataka,2009-01-02,1,2009,0.0
Karnataka,2009-01-03,1,2009,0.0
Karnataka,2009-01-04,1,2009,0.0
Karnataka,2009-01-05,1,2009,0.0
Karnataka,2009-01-06,1,2009,0.006740483033333333
Karnataka,2009-01-07,1,2009,0.015238746566666666
Karnataka,2009-01-08,1,2009,0.0
Karnataka,2009-01-09,1,2009,0.0
Karnataka,2009-01-10,1,2009,0.0
Karnataka,2009-01-11,1,2009,0.0
Karnataka,2009-01-12,1,2009,0.0028199036666666667
Karnataka,2009-01-13,1,2009,0.0008616661333333333
Karnataka,2009-01-14,1,2009,0.0
Karnataka,2009-01-15,1,2009,0.0024313048333333333
Karnataka,2009-01-16,1,2009,0.0
Karnataka,2009-01-17,1,2009,0.0
Karnataka,2009-01-18,1,2009,0.0
Karnataka,2009-01-19,1,2009,0.0
Karnataka,2009-01-20,1,2009,0.0
Karnataka,2009-01-21,1,2009,0.0
Karnataka,2009-01-22,1,2009,0.0
Karnataka,2009-01-23,1,2009,0.0
Karnataka,2009-01-24,1,2009,0.0
Karnataka,2009-01-25,1,2009,0.0
Karnataka,2009-01-26,1,2009,0.0049279247333333335
Karnataka,2009-01-27,1,2009,0.009603980000000002
Karnataka,2009-01-28,1,2009,0.0
Karnataka,2009-01-29,1,2009,0.007305443633333334
Karnataka,2009-01-30,1,2009,0.01730916246666667
Karnataka,2009-01-31,1,2009,0.0
Karnataka,2009-02-01,2,2009,0.0
Karnataka,2009-02-02,2,2009,0.0
Karnataka,2009-02-03,2,2009,0.0
Karnataka,2009-02-04,2,2009,0.0
Karnataka,2009-02-05,2,2009,0.0
Karnataka,2009-02-06,2,2009,0.006740483033333333
Karnataka,2009-02-07,2,2009,0.015238746566666666
Karnataka,2009-02-08,2,2009,0.0
Karnataka,2009-02-09,2,2009,0.0
Karnataka,2009-02-10,2,2009,0.0
Karnataka,2009-02-11,2,2009,0.0
Karnataka,2009-02-12,2,2009,0.0028199036666666667
Karnataka,2009-02-13,2,2009,0.0008616661333333333
Karnataka,2009-02-14,2,2009,0.0
Karnataka,2009-02-15,2,2009,0.0024313048333333333
Karnataka,2009-02-16,2,2009,0.0
Karnataka,2009-02-17,2,2009,0.0
Karnataka,2009-02-18,2,2009,0.0
Karnataka,2009-02-19,2,2009,0.0
Karnataka,2009-02-20,2,2009,0.0
Karnataka,2009-02-21,2,2009,0.0
Karnataka,2009-02-22,2,2009,0.0
Karnataka,2009-02-23,2,2009,0.0
Karnataka,2009-02-24,2,2009,0.0
Karnataka,2009-02-25,2,2009,0.0
Karnataka,2009-02-26,2,2009,0.0049279247333333335
Karnataka,2009-02-27,2,2009,0.009603980000000002
Karnataka,2009-02-28,2,2009,0.0
Karnataka,2009-03-01,3,2009,0.007305443633333334
Karnataka,2009-03-02,3,2009,0.0
Karnataka,2009-03-03,3,2009,0.0
Karnataka,2009-03-04,3,2009,0.0
Karnataka,2009-03-05,3,2009,0.0
Karnataka,2009-03-06,3,2009,0.0
Karnataka,2009-03-07,3,2009,0.0
Karnataka,2009-03-08,3,2009,0.0
Karnataka,2009-03-09,3,2009,0.0
Karnataka,2009-03-10,3,2009,0.011551614699999999
Karnataka,2009-03-11,3,2009,0.037549419800000004
Karnataka,2009-03-12,3,2009,0.0
Karnataka,2009-03-13,3,2009,0.0
Karnataka,2009-03-14,3,2009,0.0
Karnataka,2009-03-15,3,2009,0.0
Karnataka,2009-03-16,3,2009,0.0
Karnataka,2009-03-17,3,2009,0.0
Karnataka,2009-03-18,3,2009,0.0
Karnataka,2009-03-19,3,2009,0.0
Karnataka,2009-03-20,3,2009,0.0
Karnataka,2009-03-21,3,2009,0.0
Karnataka,2009-03-22,3,2009,0.0
Karnataka,2009-03-23,3,2009,0.0
Karnataka,2009-03-24,3,2009,0.0
Karnataka,2009-03-25,3,2009,0.0
Karnataka,2009-03-26,3,2009,0.0
Karnataka,2009-03-27,3,2009,0.0
Karnataka,2009-03-28,3,2009,0.0
Karnataka,2009-03-29,3,2009,0.0
Karnataka,2009-03-30,3,2009,0.0
Karnataka,2009-03-31,3,2009,0.0
Karnataka,2009-04-01,4,2009,0.006135650172413793
Karnataka,2009-04-02,4,2009,0.0
Karnataka,2009-04-03,4,2009,0.0
Karnataka,2009-04-04,4,2009,0.0035999587999999997
Karnataka,2009-04-05,4,2009,0.007839650466666665
Karnataka,2009-04-06,4,2009,0.05034157316666667
Karnataka,2009-04-07,4,2009,0.06866772676666667
Karnataka,2009-04-08,4,2009,0.016495969200000002
Karnataka,2009-04-09,4,2009,0.12352939483333332
Karnataka,2009-04-10,4,2009,3.1592544337
Karnataka,2009-04-11,4,2009,1.7973716572666667
Karnataka,2009-04-12,4,2009,1.4922218216666667
Karnataka,2009-04-13,4,2009,1.7895172229666665
Karnataka,2009-04-14,4,2009,1.2184635522
Karnataka,2009-04-15,4,2009,0.2471471868
Karnataka,2009-04-16,4,2009,0.35371061369999995
Karnataka,2009-04-17,4,2009,0.06945423963333333
